Price,Close,High,Low,Open,Volume,Return,Direction,Lag_1,Lag_2,Lag_3
Ticker,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN,,,,,
Date,,,,,,,,,,
2014-11-12,28008.900390625,28126.48046875,27958.640625,27958.640625,7000,0.0035413697359774066,1,0.0012674590042980327,0.0002188700767460361,-0.0016925849568573126
2014-11-13,27940.640625,28098.740234375,27822.69921875,28048.560546875,8700,-0.002437074096912739,0,0.0035413697359774066,0.0012674590042980327,0.0002188700767460361
2014-11-14,28046.66015625,28093.23046875,27912.900390625,27949.5390625,9900,0.003794455992363277,1,-0.002437074096912739,0.0035413697359774066,0.0012674590042980327
2014-11-17,28177.880859375,28205.7109375,27921.33984375,28018.6796875,6700,0.004678657009210996,1,0.003794455992363277,-0.002437074096912739,0.0035413697359774066
2014-11-18,28163.2890625,28282.849609375,28119.94921875,28209.029296875,7300,-0.0005178457864812858,0,0.004678657009210996,0.003794455992363277,-0.002437074096912739
2014-11-19,28032.849609375,28294.009765625,27963.509765625,28193.900390625,6800,-0.004631541892551327,0,-0.0005178457864812858,0.004678657009210996,0.003794455992363277
2014-11-20,28067.560546875,28118.529296875,27915.23046875,28100.83984375,8700,0.0012382236548791337,1,-0.004631541892551327,-0.0005178457864812858,0.004678657009210996
2014-11-21,28334.630859375,28360.66015625,28038.400390625,28100.099609375,10100,0.009515266282367874,1,0.0012382236548791337,-0.004631541892551327,-0.0005178457864812858
2014-11-24,28499.5390625,28541.9609375,28394.48046875,28413.009765625,9700,0.005820022993891838,1,0.009515266282367874,0.0012382236548791337,-0.004631541892551327
2014-11-25,28338.05078125,28541.220703125,28217.5,28520.759765625,10800,-0.005666347125679927,0,0.005820022993891838,0.009515266282367874,0.0012382236548791337
2014-11-26,28386.189453125,28470.150390625,28261.310546875,28321.580078125,8700,0.0016987291132546378,1,-0.005666347125679927,0.005820022993891838,0.009515266282367874
2014-11-27,28438.91015625,28498.30078125,28307.580078125,28397.80078125,11900,0.0018572659501219224,1,0.0016987291132546378,-0.005666347125679927,0.005820022993891838
2014-11-28,28693.990234375,28822.369140625,28483.990234375,28490.7109375,14600,0.008969404127075586,1,0.0018572659501219224,0.0016987291132546378,-0.005666347125679927
2014-12-01,28559.619140625,28809.640625,28538.439453125,28748.220703125,8300,-0.004682900239821874,0,0.008969404127075586,0.0018572659501219224,0.0016987291132546378
2014-12-02,28444.009765625,28576.390625,28386.4609375,28522.4609375,11200,-0.004048001285687608,0,-0.004682900239821874,0.008969404127075586,0.0018572659501219224
2014-12-03,28442.7109375,28504.650390625,28370.73046875,28472.3203125,10100,-4.5662624071018953e-05,0,-0.004048001285687608,-0.004682900239821874,0.008969404127075586
2014-12-04,28562.8203125,28808.779296875,28448.94921875,28616.9296875,10400,0.004222852570696434,1,-4.5662624071018953e-05,-0.004048001285687608,-0.004682900239821874
2014-12-05,28458.099609375,28651.75,28409.05078125,28604.5,7700,-0.0036663292342727916,0,0.004222852570696434,-4.5662624071018953e-05,-0.004048001285687608
2014-12-08,28119.400390625,28494.849609375,28097.119140625,28433.0,9500,-0.011901680836004291,0,-0.0036663292342727916,0.004222852570696434,-4.5662624071018953e-05
2014-12-09,27797.009765625,28157.529296875,27763.8203125,28134.220703125,9600,-0.011465060439463937,0,-0.011901680836004291,-0.0036663292342727916,0.004222852570696434
2014-12-10,27831.099609375,27905.25,27710.029296875,27711.9609375,9900,0.001226385285231446,1,-0.011465060439463937,-0.011901680836004291,-0.0036663292342727916
2014-12-11,27602.009765625,27796.33984375,27539.470703125,27796.33984375,9800,-0.008231433431140078,0,0.001226385285231446,-0.011465060439463937,-0.011901680836004291
2014-12-12,27350.6796875,27692.3203125,27320.05078125,27598.9609375,10900,-0.009105499210351087,0,-0.008231433431140078,0.001226385285231446,-0.011465060439463937
2014-12-15,27319.560546875,27392.1796875,27105.0390625,27136.279296875,9100,-0.0011377830818304346,0,-0.009105499210351087,-0.008231433431140078,0.001226385285231446
2014-12-16,26781.439453125,27199.369140625,26736.23046875,27181.1796875,14300,-0.019697282202863042,0,-0.0011377830818304346,-0.009105499210351087,-0.008231433431140078
2014-12-17,26710.130859375,26871.91015625,26469.419921875,26724.009765625,16600,-0.002662612436303502,0,-0.019697282202863042,-0.0011377830818304346,-0.009105499210351087
2014-12-18,27126.5703125,27180.919921875,26900.5703125,27053.859375,11200,0.01559106749860173,1,-0.002662612436303502,-0.019697282202863042,-0.0011377830818304346
2014-12-19,27371.83984375,27497.119140625,27292.140625,27292.55078125,11800,0.00904167126269484,1,0.01559106749860173,-0.002662612436303502,-0.019697282202863042
2014-12-22,27701.7890625,27725.26953125,27382.3203125,27479.869140625,7400,0.012054331043637845,1,0.00904167126269484,0.01559106749860173,-0.002662612436303502
2014-12-23,27506.4609375,27851.099609375,27475.130859375,27733.119140625,8600,-0.007051101449054631,0,0.012054331043637845,0.00904167126269484,0.01559106749860173
2014-12-24,27208.609375,27571.25,27146.51953125,27530.259765625,10600,-0.010828421845208491,0,-0.007051101449054631,0.012054331043637845,0.00904167126269484
2014-12-30,27403.5390625,27478.30078125,27312.2890625,27478.30078125,6100,0.00716426498735756,1,-0.010828421845208491,-0.007051101449054631,0.012054331043637845
2014-12-31,27499.419921875,27527.240234375,27346.0,27358.30078125,6500,0.003498849515616298,1,0.00716426498735756,-0.010828421845208491,-0.007051101449054631
2015-01-02,27887.900390625,27937.470703125,27519.259765625,27521.279296875,7400,0.014126860488463455,1,0.003498849515616298,0.00716426498735756,-0.010828421845208491
2015-01-05,27842.3203125,28064.490234375,27786.849609375,27978.4296875,9200,-0.001634403360832537,0,0.014126860488463455,0.003498849515616298,0.00716426498735756
2015-01-06,26987.4609375,27698.9296875,26937.060546875,27694.23046875,14100,-0.030703596733502314,0,-0.001634403360832537,0.014126860488463455,0.003498849515616298
2015-01-07,26908.8203125,27051.599609375,26776.119140625,26983.4296875,12200,-0.0029139690162821585,0,-0.030703596733502314,-0.001634403360832537,0.014126860488463455
2015-01-08,27274.7109375,27316.41015625,27101.939453125,27178.76953125,8200,0.0135974234749352,1,-0.0029139690162821585,-0.030703596733502314,-0.001634403360832537
2015-01-09,27458.380859375,27507.669921875,27119.630859375,27404.189453125,11100,0.00673407400341941,1,0.0135974234749352,-0.0029139690162821585,-0.030703596733502314
2015-01-12,27585.26953125,27620.66015625,27323.740234375,27523.859375,7500,0.004621127244350154,1,0.00673407400341941,0.0135974234749352,-0.0029139690162821585
2015-01-13,27425.73046875,27670.189453125,27324.580078125,27611.560546875,7800,-0.005783487535594545,0,0.004621127244350154,0.00673407400341941,0.0135974234749352
2015-01-14,27346.8203125,27512.80078125,27203.25,27432.140625,10200,-0.0028772307939040065,0,-0.005783487535594545,0.004621127244350154,0.00673407400341941
2015-01-15,28075.55078125,28194.609375,27703.69921875,27831.16015625,16700,0.026647722127201234,1,-0.0028772307939040065,-0.005783487535594545,0.004621127244350154
2015-01-16,28121.890625,28176.099609375,27945.310546875,28056.609375,12100,0.00165054086066041,1,0.026647722127201234,-0.0028772307939040065,-0.005783487535594545
2015-01-19,28262.009765625,28334.060546875,28197.359375,28249.83984375,10900,0.004982564739101747,1,0.00165054086066041,0.026647722127201234,-0.0028772307939040065
2015-01-20,28784.669921875,28829.2890625,28324.849609375,28324.849609375,11100,0.01849338248002841,1,0.004982564739101747,0.00165054086066041,0.026647722127201234
2015-01-21,28888.859375,28958.099609375,28792.5703125,28843.08984375,15400,0.003619616045894558,1,0.01849338248002841,0.004982564739101747,0.00165054086066041
2015-01-22,29006.01953125,29060.41015625,28892.23046875,28957.7890625,11100,0.004055548013480514,1,0.003619616045894558,0.01849338248002841,0.004982564739101747
2015-01-23,29278.83984375,29408.73046875,29165.560546875,29189.44921875,11900,0.009405644652692668,1,0.004055548013480514,0.003619616045894558,0.01849338248002841
2015-01-27,29571.0390625,29618.58984375,29286.08984375,29451.650390625,11300,0.009979876945581001,1,0.009405644652692668,0.004055548013480514,0.003619616045894558
2015-01-28,29559.1796875,29786.3203125,29417.669921875,29565.720703125,11200,-0.0004010469491766422,0,0.009979876945581001,0.009405644652692668,0.004055548013480514
2015-01-29,29681.76953125,29740.630859375,29378.30078125,29516.490234375,12700,0.004147268126044823,1,-0.0004010469491766422,0.009979876945581001,0.009405644652692668
2015-01-30,29182.94921875,29844.16015625,29070.48046875,29801.599609375,15800,-0.016805612346488474,0,0.004147268126044823,-0.0004010469491766422,0.009979876945581001
2015-02-02,29122.26953125,29268.130859375,28958.51953125,29143.630859375,18000,-0.0020792856487928946,0,-0.016805612346488474,0.004147268126044823,-0.0004010469491766422
2015-02-03,29000.140625,29253.060546875,28900.41015625,29217.400390625,16600,-0.0041936603230372516,0,-0.0020792856487928946,-0.016805612346488474,0.004147268126044823
2015-02-04,28883.109375,29133.619140625,28824.6796875,29129.849609375,15800,-0.00403554077593371,0,-0.0041936603230372516,-0.0020792856487928946,-0.016805612346488474
2015-02-05,28850.970703125,29277.830078125,28753.2890625,28912.380859375,12800,-0.0011127150978702538,0,-0.00403554077593371,-0.0041936603230372516,-0.0020792856487928946
2015-02-06,28717.91015625,28922.849609375,28647.140625,28892.2109375,11400,-0.004611995493814969,0,-0.0011127150978702538,-0.00403554077593371,-0.0041936603230372516
2015-02-09,28227.390625,28566.5,28183.3203125,28566.5,11700,-0.017080613755706908,0,-0.004611995493814969,-0.0011127150978702538,-0.00403554077593371
2015-02-10,28355.619140625,28633.720703125,28044.490234375,28122.48046875,14600,0.004542698166065451,1,-0.017080613755706908,-0.004611995493814969,-0.0011127150978702538
2015-02-11,28533.970703125,28618.91015625,28424.390625,28450.259765625,13800,0.0062898137267077825,1,0.004542698166065451,-0.017080613755706908,-0.004611995493814969
2015-02-12,28805.099609375,28838.51953125,28406.25,28650.25,13800,0.009501969041424196,1,0.0062898137267077825,0.004542698166065451,-0.017080613755706908
2015-02-13,29094.9296875,29154.669921875,28835.69921875,28888.990234375,17600,0.010061762745325442,1,0.009501969041424196,0.0062898137267077825,0.004542698166065451
2015-02-16,29135.880859375,29325.349609375,29083.400390625,29170.76953125,10500,0.001407502005154937,1,0.010061762745325442,0.009501969041424196,0.0062898137267077825
2015-02-18,29320.259765625,29411.3203125,29126.91015625,29136.0703125,11000,0.006328242044230992,1,0.001407502005154937,0.010061762745325442,0.009501969041424196
